ID,Author,Title,Year,Venue,Label,DOI
12,"John Doe, Jane Smith","Survey on AI Hallucinations",2026,"arXiv","hallucinated","10.1234/fake.12345"
13,"Ziwei Xu et al.","Hallucination is Inevitable: An Innate Limitation of Large Language Models",2024,"arXiv","valid","10.48550/arXiv.2401.11817"
14,"Ziwei Xu et al.","Hallucination is Inevitable: An Innate Limitation of Large Language Models",2025,"arXiv","partially_valid","10.48550/arXiv.2401.11817"
15,"John Doe, Jane Smith","Inevitable Hallucinations in AI",2026,"arXiv","hallucinated","10.1234/fake.12345"
16,"Che Jiang, Biqing Qi, Xiangyu Hong, Dayuan Fu, Yang Cheng, Fandong Meng, Mo Yu, Bowen Zhou, Jie Zhou","On Large Language Models’ Hallucination with Regard to Known Facts",2024,"NAACL 2024","valid","N/A"
17,"Che Jiang Jr., Biqing Qi, Xiangyu Hong, Dayuan Fu, Yang Cheng, Fandong Meng, Mo Yu, Bowen Zhou, Jie Zhou","On Large Language Models’ Hallucination with Regard to Known Facts",2024,"NAACL 2024","partially_valid","N/A"
18,"John Doe, Jane Smith","Hallucinations on Known Facts in LLMs",2026,"NAACL 2024","hallucinated","10.1234/fake.12345"
19,"Adam Tauman Kalai et al.","Why Language Models Hallucinate",2024,"OpenAI","valid","N/A"
20,"Adam Tauman Kalai et al.","Why Language Models Hallucinate",2025,"OpenAI","partially_valid","N/A"
21,"John Doe, Jane Smith","Reasons for Language Model Hallucinations",2026,"OpenAI","hallucinated","10.1234/fake.12345"
22,"Matthew Dahl, Varun Magesh, Mirac Suzgun, Daniel E. Ho","Large Legal Fictions: Profiling Legal Hallucinations in Large Language Models",2024,"Journal of Legal Analysis","valid","10.1093/jla/laae006"
23,"Matthew Dahl, Varun Magesh, Mirac Suzgun, Daniel E. Ho","Large Legal Fictions: Profiling Legal Hallucinations in Large Language Models",2023,"Journal of Legal Analysis","partially_valid","10.1093/jla/laae006"
24,"John Doe, Jane Smith","Legal Hallucinations in AI",2026,"Journal of Legal Analysis","hallucinated","10.1234/fake.12345"
25,"Lei Huang et al.","A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",2023,"arXiv","valid","10.48550/arXiv.2311.05232v2"
26,"Lei Huang et al.","A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",2024,"arXiv","partially_valid","10.48550/arXiv.2311.05232v2"
27,"John Doe, Jane Smith","Taxonomy of AI Hallucinations",2026,"arXiv","hallucinated","10.1234/fake.12345"
28,"Wenhao Yu et al.","A Comprehensive Survey of Hallucination in Large Language Models",2024,"Findings of EMNLP 2024","valid","N/A"
29,"Wenhao Yu et al.","A Comprehensive Survey of Hallucination in Large Language Models",2025,"Findings of EMNLP 2024","partially_valid","N/A"
30,"John Doe, Jane Smith","Survey of Hallucinations in LLMs",2026,"Findings of EMNLP 2024","hallucinated","10.1234/fake.12345"
31,"An B. Vuong, Michael T. McCann, Javier E. Santos, Yen Ting Lin","Are We Really Learning the Score Function? Reinterpreting Diffusion Models Through Wasserstein Gradient Flow Matching",2025,"CIKM 2025","valid","N/A"
32,"An B. Vuong Jr., Michael T. McCann, Javier E. Santos, Yen Ting Lin","Are We Really Learning the Score Function? Reinterpreting Diffusion Models Through Wasserstein Gradient Flow Matching",2025,"CIKM 2025","partially_valid","N/A"
33,"John Doe, Jane Smith","Reinterpreting Diffusion Models",2026,"CIKM 2025","hallucinated","10.1234/fake.12345"
34,"Yousuf Moiz Ali, Jaroslaw E. Prilepsky, Nicola Sambo, Joao Pedro, Mohammad M. Hosseini, Antonio Napoli, Sergei K. Turitsyn, Pedro Freire","From Data to Decision: A Multi-Stage Framework for Class Imbalance Mitigation in Optical Network Failure Analysis",2025,"arXiv","valid","N/A"
35,"Yousuf Moiz Ali Jr., Jaroslaw E. Prilepsky, Nicola Sambo, Joao Pedro, Mohammad M. Hosseini, Antonio Napoli, Sergei K. Turitsyn, Pedro Freire","From Data to Decision: A Multi-Stage Framework for Class Imbalance Mitigation in Optical Network Failure Analysis",2025,"arXiv","partially_valid","N/A"
36,"John Doe, Jane Smith","Class Imbalance in Networks",2026,"arXiv","hallucinated","10.1234/fake.12345"
37,"Ruokai Yin, Sattwik Deb Mishra, Xuan Zuo, Hokchhay Tann, Preyas Shah, Apala Guha","Learning to Shard: RL for Co-optimizing the Parallelism Degrees and Per-operator Sharding Dimensions in Distributed LLM Inference",2025,"arXiv","valid","N/A"
38,"Ruokai Yin, Sattwik Deb Mishra, Xuan Zuo, Hokchhay Tann, Preyas Shah, Apala Guha","Learning to Shard: RL for Co-optimizing the Parallelism Degrees and Per-operator Sharding Dimensions in Distributed LLM Inference",2024,"arXiv","partially_valid","N/A"
39,"John Doe, Jane Smith","Sharding in LLMs",2026,"arXiv","hallucinated","10.1234/fake.12345"
40,"Haoyu Dong, Pengkun Zhang, Mingzhe Lu, Yanzhen Shen, Guolin Ke","MachineLearningLM: Scaling Many-shot In-context Learning via Continued Pretraining",2025,"arXiv","valid","10.48550/arXiv.2509.06806"
41,"Haoyu Dong, Pengkun Zhang, Mingzhe Lu, Yanzhen Shen, Guolin Ke","MachineLearningLM: Scaling Many-shot In-context Learning via Continued Pretraining",2024,"arXiv","partially_valid","10.48550/arXiv.2509.06806"
42,"John Doe, Jane Smith","Scaling In-context Learning",2026,"arXiv","hallucinated","10.1234/fake.12345"
43,"Hu, Edward J. et al.","LoRA: Low-rank adaptation of large language models",2021,"arXiv","valid","10.48550/arXiv.2106.09685"
44,"Hu, Edward J. et al.","LoRA: Low-rank adaptation of large language models",2022,"arXiv","partially_valid","10.48550/arXiv.2106.09685"
45,"John Doe, Jane Smith","Low-rank Adaptation in LLMs",2026,"arXiv","hallucinated","10.1234/fake.12345"
46,"Bonan Min et al.","Recent Advances in Natural Language Processing via Large Pre-Trained Language Models: A Survey",2021,"arXiv","valid","10.48550/arXiv.2111.01243"
47,"Bonan Min et al.","Recent Advances in Natural Language Processing via Large Pre-Trained Language Models: A Survey",2020,"arXiv","partially_valid","10.48550/arXiv.2111.01243"
48,"John Doe, Jane Smith","Advances in NLP with Pre-Trained Models",2026,"arXiv","hallucinated","10.1234/fake.12345"
49,"Roberto Navigli","Multilingual Semantics in NLP",2025,"RANLP 2025","valid","N/A"
50,"Roberto Navigli Jr.","Multilingual Semantics in NLP",2025,"RANLP 2025","partially_valid","N/A"
51,"John Doe, Jane Smith","Semantics in Multilingual NLP",2026,"RANLP 2025","hallucinated","10.1234/fake.12345"
52,"Anna Rogers","Ethical Concerns in NLP",2025,"RANLP 2025","valid","N/A"
53,"Anna Rogers","Ethical Concerns in NLP",2024,"RANLP 2025","partially_valid","N/A"
54,"John Doe, Jane Smith","Ethics in NLP Research",2026,"RANLP 2025","hallucinated","10.1234/fake.12345"
55,"Marco Tulio Ribeiro et al.","Beyond Accuracy: Behavioral Testing of NLP Models with CheckList",2020,"ACL","valid","N/A"
56,"Marco Tulio Ribeiro et al.","Beyond Accuracy: Behavioral Testing of NLP Models with CheckList",2021,"ACL","partially_valid","N/A"
57,"John Doe, Jane Smith","Behavioral Testing in NLP",2026,"ACL","hallucinated","10.1234/fake.12345"
58,"Jia Wang, Jie Hu, Xiaoqi Ma, Hanghang Ma, Yanbing Zeng, Xiaoming Wei","MagicMirror: A Large-Scale Dataset and Benchmark for Fine-Grained Artifacts Assessment in Text-to-Image Generation",2025,"arXiv","valid","N/A"
59,"Jia Wang, Jie Hu, Xiaoqi Ma, Hanghang Ma, Yanbing Zeng, Xiaoming Wei","MagicMirror: A Large-Scale Dataset and Benchmark for Fine-Grained Artifacts Assessment in Text-to-Image Generation",2024,"arXiv","partially_valid","N/A"
60,"John Doe, Jane Smith","Artifacts in Image Generation",2026,"arXiv","hallucinated","10.1234/fake.12345"
61,"Farhan Fuad Abir, Abigail Elliott Daly, Kyle Anderman, Tolga Ozmen, Laura J. Brattain","Multimodal Deep Learning for Phyllodes Tumor Classification from Ultrasound and Clinical Data",2025,"IEEE-EMBS BSN 2025","valid","N/A"
62,"Farhan Fuad Abir Jr., Abigail Elliott Daly, Kyle Anderman, Tolga Ozmen, Laura J. Brattain","Multimodal Deep Learning for Phyllodes Tumor Classification from Ultrasound and Clinical Data",2025,"IEEE-EMBS BSN 2025","partially_valid","N/A"
63,"John Doe, Jane Smith","Tumor Classification with Multimodal Learning",2026,"IEEE-EMBS BSN 2025","hallucinated","10.1234/fake.12345"
64,"René Parlange, Juan C. Cuevas-Tello, Octavio Valenzuela, Omar de J. Cabrera-Rosas, Tomás Verdugo, Anupreeta More, Anton T. Jaelani","GraViT: Transfer Learning with Vision Transformers and MLP-Mixer for Strong Gravitational Lens Discovery",2025,"arXiv","valid","N/A"
65,"René Parlange, Juan C. Cuevas-Tello, Octavio Valenzuela, Omar de J. Cabrera-Rosas, Tomás Verdugo, Anupreeta More, Anton T. Jaelani","GraViT: Transfer Learning with Vision Transformers and MLP-Mixer for Strong Gravitational Lens Discovery",2024,"arXiv","partially_valid","N/A"
66,"John Doe, Jane Smith","Transfer Learning for Lens Discovery",2026,"arXiv","hallucinated","10.1234/fake.12345"
67,"Uesaka K, Oka H, Kato R, Kanie K, Kojima T, Tsugawa H, Toda Y, Horinouchi T","Bioinformatics in bioscience and bioengineering: Recent advances, applications, and perspectives",2022,"J Biosci Bioeng","valid","10.1016/j.jbiosc.2022.08.004"
68,"Uesaka K, Oka H, Kato R, Kanie K, Kojima T, Tsugawa H, Toda Y, Horinouchi T","Bioinformatics in bioscience and bioengineering: Recent advances, applications, and perspectives",2023,"J Biosci Bioeng","partially_valid","10.1016/j.jbiosc.2022.08.004"
69,"John Doe, Jane Smith","Advances in Bioinformatics",2026,"J Biosci Bioeng","hallucinated","10.1234/fake.12345"
70,"Gauthier J, Vincent AT, Charette SJ, Derome N","A brief history of bioinformatics",2019,"Brief Bioinform","valid","10.1093/bib/bby063"
71,"Gauthier J, Vincent AT, Charette SJ, Derome N","A brief history of bioinformatics",2020,"Brief Bioinform","partially_valid","10.1093/bib/bby063"
72,"John Doe, Jane Smith","History of Bioinformatics",2026,"Brief Bioinform","hallucinated","10.1234/fake.12345"
73,"Matsuoka T, Yashiro M","Bioinformatics Analysis and Validation of Potential Markers Associated with Prediction and Prognosis of Gastric Cancer",2024,"Int J Mol Sci","valid","10.3390/ijms25115880"
74,"Matsuoka T, Yashiro M","Bioinformatics Analysis and Validation of Potential Markers Associated with Prediction and Prognosis of Gastric Cancer",2023,"Int J Mol Sci","partially_valid","10.3390/ijms25115880"
75,"John Doe, Jane Smith","Markers for Gastric Cancer",2026,"Int J Mol Sci","hallucinated","10.1234/fake.12345"
76,"Chen C, Hou J, Tanner JJ, Cheng J","Bioinformatics Methods for Mass Spectrometry-Based Proteomics Data Analysis",2020,"Int J Mol Sci","valid","10.3390/ijms21082873"
77,"Chen C, Hou J, Tanner JJ, Cheng J","Bioinformatics Methods for Mass Spectrometry-Based Proteomics Data Analysis",2021,"Int J Mol Sci","partially_valid","10.3390/ijms21082873"
78,"John Doe, Jane Smith","Proteomics Data Analysis Methods",2026,"Int J Mol Sci","hallucinated","10.1234/fake.12345"
79,"Montante S, Brinkman RR","Flow cytometry data analysis: Recent tools and algorithms",2019,"Int J Lab Hematol","valid","10.1111/ijlh.13016"
80,"Montante S, Brinkman RR","Flow cytometry data analysis: Recent tools and algorithms",2018,"Int J Lab Hematol","partially_valid","10.1111/ijlh.13016"
81,"John Doe, Jane Smith","Tools for Flow Cytometry",2026,"Int J Lab Hematol","hallucinated","10.1234/fake.12345"
82,"Huang Y, Cao J, Li X, Yang Q, Xie Q, Liu X, Cai X, Chen J, Hong H, Li R","Multimodal feature fusion machine learning for predicting chronic injury induced by engineered nanomaterials",2025,"Nat Commun","valid","10.1038/s41467-025-47265-8"
83,"Huang Y, Cao J, Li X, Yang Q, Xie Q, Liu X, Cai X, Chen J, Hong H, Li R","Multimodal feature fusion machine learning for predicting chronic injury induced by engineered nanomaterials",2024,"Nat Commun","partially_valid","10.1038/s41467-025-47265-8"
84,"John Doe, Jane Smith","Predicting Injury with ML",2026,"Nat Commun","hallucinated","10.1234/fake.12345"
85,"Scholl A, Gong B, Li B, Fatima T, Tirrell N, Karaiskos S, Rios M, Xu J, De S","Zika and dengue viruses differentially modulate host mRNA processing factors defining its virulence",2024,"Publication","valid","N/A"
86,"Scholl A, Gong B, Li B, Fatima T, Tirrell N, Karaiskos S, Rios M, Xu J, De S","Zika and dengue viruses differentially modulate host mRNA processing factors defining its virulence",2025,"Publication","partially_valid","N/A"
87,"John Doe, Jane Smith","Viruses and mRNA Processing",2026,"Publication","hallucinated","10.1234/fake.12345"
88,"Varghese A, Liu J, Liu B, Guo W, Dong F, Patterson TA, Hong H","Analysis of Structures of SARS-CoV-2 Papain-like Protease Bound with Ligands Unveils Structural Features for Inhibiting the Enzyme",2025,"Molecules","valid","10.3390/molecules30030491"
89,"Varghese A, Liu J, Liu B, Guo W, Dong F, Patterson TA, Hong H","Analysis of Structures of SARS-CoV-2 Papain-like Protease Bound with Ligands Unveils Structural Features for Inhibiting the Enzyme",2024,"Molecules","partially_valid","10.3390/molecules30030491"
90,"John Doe, Jane Smith","SARS-CoV-2 Protease Structures",2026,"Molecules","hallucinated","10.1234/fake.12345"
91,"Emma L. Flynn, Riya Shah, Ian Dunn, Rishal Aggarwal, David Ryan Koes","FAIR² Data",2025,"Frontiers in Bioinformatics","valid","10.3389/fbinf.2025.1628800"
92,"Emma L. Flynn, Riya Shah, Ian Dunn, Rishal Aggarwal, David Ryan Koes","FAIR² Data",2024,"Frontiers in Bioinformatics","partially_valid","10.3389/fbinf.2025.1628800"
93,"John Doe, Jane Smith","FAIR Data Practices",2026,"Frontiers in Bioinformatics","hallucinated","10.1234/fake.12345"
94,"Mohammed Alrouji, Mohammed S Alshammari, Sharif Alhajlah, Syed Tasqeeruddin, Dinislam Khuzin, Anas Shamsi, Saleha Anwar","Drug Discovery in Bioinformatics",2025,"Frontiers in Bioinformatics","valid","N/A"
95,"Mohammed Alrouji, Mohammed S Alshammari, Sharif Alhajlah, Syed Tasqeeruddin, Dinislam Khuzin, Anas Shamsi, Saleha Anwar","Drug Discovery in Bioinformatics",2024,"Frontiers in Bioinformatics","partially_valid","N/A"
96,"John Doe, Jane Smith","Bioinformatics for Drug Discovery",2026,"Frontiers in Bioinformatics","hallucinated","10.1234/fake.12345"
97,"Adrianus Saga Ekakristi et al.","Polydoros Giannouris",2025,"Natural Language Processing Journal","valid","N/A"
98,"Adrianus Saga Ekakristi et al.","Polydoros Giannouris",2024,"Natural Language Processing Journal","partially_valid","N/A"
99,"John Doe, Jane Smith","Advances in NLP Journal",2026,"Natural Language Processing Journal","hallucinated","10.1234/fake.12345"
100,"Huda Diab Abdulgalil, Otman A. Basir","BMC Bioinformatics Article",2025,"BMC Bioinformatics","valid","10.1186/s12859-025-05879-2"
101,"Huda Diab Abdulgalil, Otman A. Basir","BMC Bioinformatics Article",2024,"BMC Bioinformatics","partially_valid","10.1186/s12859-025-05879-2"
102,"John Doe, Jane Smith","Bioinformatics Research",2026,"BMC Bioinformatics","hallucinated","10.1234/fake.12345"
103,"Seung Hyun Moon","Minimax optimal transfer learning for high-dimensional additive regression",2025,"arXiv","valid","10.48550/arXiv.2509.06308"
104,"Seung Hyun Moon","Minimax optimal transfer learning for high-dimensional additive regression",2024,"arXiv","partially_valid","10.48550/arXiv.2509.06308"
105,"John Doe, Jane Smith","Transfer Learning in Regression",2026,"arXiv","hallucinated","10.1234/fake.12345"
106,"Unknown","Simulation-based inference of yeast centromeres",2025,"arXiv","valid","10.48550/arXiv.2509.00200"
107,"Unknown","Simulation-based inference of yeast centromeres",2024,"arXiv","partially_valid","10.48550/arXiv.2509.00200"
108,"John Doe, Jane Smith","Inference of Centromeres",2026,"arXiv","hallucinated","10.1234/fake.12345"
109,"Lei Xin, Baike She, Qi Dou, George Chiu, Shreyas Sundaram","Learning Linearized Models from Nonlinear Systems under Initialization Constraints with Finite Data",2025,"arXiv","valid","N/A"
110,"Lei Xin, Baike She, Qi Dou, George Chiu, Shreyas Sundaram","Learning Linearized Models from Nonlinear Systems under Initialization Constraints with Finite Data",2024,"arXiv","partially_valid","N/A"
111,"John Doe, Jane Smith","Linearized Models from Nonlinear",2026,"arXiv","hallucinated","10.1234/fake.12345"
112,"Sweta Rai, Douglas W. Nychka, Soutir Bandyopadhyay","Modeling Spatial Extremes using Non-Gaussian Spatial Autoregressive Models via Convolutional Neural Networks",2025,"arXiv","valid","N/A"
113,"Sweta Rai, Douglas W. Nychka, Soutir Bandyopadhyay","Modeling Spatial Extremes using Non-Gaussian Spatial Autoregressive Models via Convolutional Neural Networks",2024,"arXiv","partially_valid","N/A"
114,"John Doe, Jane Smith","Spatial Extremes Modeling",2026,"arXiv","hallucinated","10.1234/fake.12345"
115,"Unknown","A Symbolic and Statistical Learning Framework to Discover Bioprocessing Regulatory Mechanism: Cell Culture Example",2025,"arXiv","valid","N/A"
116,"Unknown","A Symbolic and Statistical Learning Framework to Discover Bioprocessing Regulatory Mechanism: Cell Culture Example",2024,"arXiv","partially_valid","N/A"
117,"John Doe, Jane Smith","Bioprocessing Regulatory Framework",2026,"arXiv","hallucinated","10.1234/fake.12345"
118,"Rodrigo Tertulino","Centralized vs. Federated Learning for Educational Data Mining: A Comparative Study on Student Performance Prediction with SAEB Microdata",2025,"arXiv","valid","10.48550/arXiv.2509.00086"
119,"Rodrigo Tertulino","Centralized vs. Federated Learning for Educational Data Mining: A Comparative Study on Student Performance Prediction with SAEB Microdata",2024,"arXiv","partially_valid","10.48550/arXiv.2509.00086"
120,"John Doe, Jane Smith","Federated Learning in Education",2026,"arXiv","hallucinated","10.1234/fake.12345"
121,"Keyu Chen et al.","Deep Learning and Machine Learning -- Natural Language Processing: From Theory to Application",2024,"arXiv","valid","10.48550/arXiv.2411.05026"
122,"Keyu Chen et al.","Deep Learning and Machine Learning -- Natural Language Processing: From Theory to Application",2025,"arXiv","partially_valid","10.48550/arXiv.2411.05026"
123,"John Doe, Jane Smith","Theory to Application in NLP",2026,"arXiv","hallucinated","10.1234/fake.12345"
124,"Amirsina Torfi et al.","Natural Language Processing Advancements By Deep Learning: A Survey",2021,"arXiv","valid","10.48550/arXiv.2003.01200"
125,"Amirsina Torfi et al.","Natural Language Processing Advancements By Deep Learning: A Survey",2020,"arXiv","partially_valid","10.48550/arXiv.2003.01200"
126,"John Doe, Jane Smith","Deep Learning in NLP Survey",2026,"arXiv","hallucinated","10.1234/fake.12345"
127,"Diksha Khurana et al.","Natural Language Processing: State of The Art, Current Trends and Challenges",2017,"arXiv","valid","10.48550/arXiv.1708.05148"
128,"Diksha Khurana et al.","Natural Language Processing: State of The Art, Current Trends and Challenges",2018,"arXiv","partially_valid","10.48550/arXiv.1708.05148"
129,"John Doe, Jane Smith","State of Art in NLP",2026,"arXiv","hallucinated","10.1234/fake.12345"
130,"Zekun Wang et al.","Interactive Natural Language Processing",2023,"arXiv","valid","10.48550/arXiv.2305.13246"
131,"Zekun Wang et al.","Interactive Natural Language Processing",2022,"arXiv","partially_valid","10.48550/arXiv.2305.13246"
132,"John Doe, Jane Smith","Interactive NLP",2026,"arXiv","hallucinated","10.1234/fake.12345"
133,"Marcos Treviso et al.","Efficient Methods for Natural Language Processing: A Survey",2023,"arXiv","valid","10.48550/arXiv.2209.00099"
134,"Marcos Treviso et al.","Efficient Methods for Natural Language Processing: A Survey",2024,"arXiv","partially_valid","10.48550/arXiv.2209.00099"
135,"John Doe, Jane Smith","Efficient NLP Methods",2026,"arXiv","hallucinated","10.1234/fake.12345"
136,"Marwan Omar et al.","Robust Natural Language Processing: Recent Advances, Challenges, and Future Directions",2022,"arXiv","valid","10.48550/arXiv.2201.00768"
137,"Marwan Omar et al.","Robust Natural Language Processing: Recent Advances, Challenges, and Future Directions",2021,"arXiv","partially_valid","10.48550/arXiv.2201.00768"
138,"John Doe, Jane Smith","Robust NLP Advances",2026,"arXiv","hallucinated","10.1234/fake.12345"
139,"Shangyu Wu et al.","Retrieval-Augmented Generation for Natural Language Processing: A Survey",2025,"arXiv","valid","10.48550/arXiv.2407.13193"
140,"Shangyu Wu et al.","Retrieval-Augmented Generation for Natural Language Processing: A Survey",2024,"arXiv","partially_valid","10.48550/arXiv.2407.13193"
141,"John Doe, Jane Smith","RAG in NLP Survey",2026,"arXiv","hallucinated","10.1234/fake.12345"
142,"Faizan Farooq Khan et al.","Category-level Text-to-Image Retrieval Improved: Bridging the Domain Gap with Diffusion Models and Vision Encoders",2025,"arXiv","valid","N/A"
143,"Faizan Farooq Khan et al.","Category-level Text-to-Image Retrieval Improved: Bridging the Domain Gap with Diffusion Models and Vision Encoders",2024,"arXiv","partially_valid","N/A"
144,"John Doe, Jane Smith","Text-to-Image Retrieval",2026,"arXiv","hallucinated","10.1234/fake.12345"
145,"Emily Kaczmarek, Justin Szeto, Brennan Nichyporuk, Tal Arbel","SSL-AD: Spatiotemporal Self-Supervised Learning for Generalizability and Adaptability Across Alzheimer's Prediction Tasks and Datasets",2025,"arXiv","valid","N/A"
146,"Emily Kaczmarek, Justin Szeto, Brennan Nichyporuk, Tal Arbel","SSL-AD: Spatiotemporal Self-Supervised Learning for Generalizability and Adaptability Across Alzheimer's Prediction Tasks and Datasets",2024,"arXiv","partially_valid","N/A"
147,"John Doe, Jane Smith","Self-Supervised Learning for Alzheimer's",2026,"arXiv","hallucinated","10.1234/fake.12345"
148,"Unknown","Investigating the Impact of Various Loss Functions and Learnable Wiener Filter for Laparoscopic Image Desmoking",2025,"arXiv","valid","N/A"
149,"Unknown","Investigating the Impact of Various Loss Functions and Learnable Wiener Filter for Laparoscopic Image Desmoking",2024,"arXiv","partially_valid","N/A"
150,"John Doe, Jane Smith","Loss Functions in Image Desmoking",2026,"arXiv","hallucinated","10.1234/fake.12345"
151,"Jinzhou Tang, Jusheng Zhang, Sidi Liu, Waikit Xiu, Qinhan Lv, Xiying Li","Beyond Pixels: Introducing Geometric-Semantic World Priors for Video-based Embodied Models via Spatio-temporal Alignment",2025,"arXiv","valid","N/A"
152,"Jinzhou Tang, Jusheng Zhang, Sidi Liu, Waikit Xiu, Qinhan Lv, Xiying Li","Beyond Pixels: Introducing Geometric-Semantic World Priors for Video-based Embodied Models via Spatio-temporal Alignment",2024,"arXiv","partially_valid","N/A"
153,"John Doe, Jane Smith","Geometric-Semantic Priors",2026,"arXiv","hallucinated","10.1234/fake.12345"
154,"Boyi Li, Ce Zhang, Richard M. Timmerman, Wenxuan Bao","DGL-RSIS: Decoupling Global Spatial Context and Local Class Semantics for Training-Free Remote Sensing Image Segmentation",2025,"arXiv","valid","N/A"
155,"Boyi Li, Ce Zhang, Richard M. Timmerman, Wenxuan Bao","DGL-RSIS: Decoupling Global Spatial Context and Local Class Semantics for Training-Free Remote Sensing Image Segmentation",2024,"arXiv","partially_valid","N/A"
156,"John Doe, Jane Smith","Remote Sensing Segmentation",2026,"arXiv","hallucinated","10.1234/fake.12345"
157,"Ali R. Awan, Mohammad M. Karimi","Prompt-based methods in bioinformatics",2025,"Nature Communications","valid","N/A"
158,"Ali R. Awan, Mohammad M. Karimi","Prompt-based methods in bioinformatics",2024,"Nature Communications","partially_valid","N/A"
159,"John Doe, Jane Smith","Prompts in Bioinformatics",2026,"Nature Communications","hallucinated","10.1234/fake.12345"
160,"Unknown","Clustering analysis in single-cell RNA sequencing",2025,"BMC Bioinformatics","valid","10.1186/s12859-025-05879-2"
161,"Unknown","Clustering analysis in single-cell RNA sequencing",2024,"BMC Bioinformatics","partially_valid","10.1186/s12859-025-05879-2"
162,"John Doe, Jane Smith","scRNA-seq Clustering",2026,"BMC Bioinformatics","hallucinated","10.1234/fake.12345"
163,"Unknown","Integration of Omics Data in Bioinformatics",2025,"BMC Bioinformatics","valid","N/A"
164,"Unknown","Integration of Omics Data in Bioinformatics",2024,"BMC Bioinformatics","partially_valid","N/A"
165,"John Doe, Jane Smith","Omics Integration",2026,"BMC Bioinformatics","hallucinated","10.1234/fake.12345"
166,"Daniel Alexander Alber et al.","Medical large language models are vulnerable to data-poisoning attacks",2025,"Medicine","valid","10.1038/s41591-024-03445-1"
167,"Daniel Alexander Alber et al.","Medical large language models are vulnerable to data-poisoning attacks",2024,"Medicine","partially_valid","10.1038/s41591-024-03445-1"
168,"John Doe, Jane Smith","Data-Poisoning in Medical LLMs",2026,"Medicine","hallucinated","10.1234/fake.12345"
169,"Choi, Schwarcz","Legal education in AI",2024,"Publication","valid","N/A"
170,"Choi, Schwarcz","Legal education in AI",2025,"Publication","partially_valid","N/A"
171,"John Doe, Jane Smith","AI in Legal Education",2026,"Publication","hallucinated","10.1234/fake.12345"
172,"Livermore, Herron, Rockmore","Legal research in AI",2024,"Publication","valid","N/A"
173,"Livermore, Herron, Rockmore","Legal research in AI",2025,"Publication","partially_valid","N/A"
174,"John Doe, Jane Smith","AI Legal Research",2026,"Publication","hallucinated","10.1234/fake.12345"
175,"Rodgers, Armour, Sako","Legal practice in AI",2023,"Publication","valid","N/A"
176,"Rodgers, Armour, Sako","Legal practice in AI",2024,"Publication","partially_valid","N/A"
177,"John Doe, Jane Smith","AI in Legal Practice",2026,"Publication","hallucinated","10.1234/fake.12345"
178,"Chien et al.","Barriers to legal representation",2024,"Publication","valid","N/A"
179,"Chien et al.","Barriers to legal representation",2025,"Publication","partially_valid","N/A"
180,"John Doe, Jane Smith","Legal Representation Barriers",2026,"Publication","hallucinated","10.1234/fake.12345"
181,"Perlman","Legal hallucinations in LMs",2023,"Publication","valid","N/A"
182,"Perlman","Legal hallucinations in LMs",2024,"Publication","partially_valid","N/A"
